MONTH,COLLISION_COUNT,PERC
1,149106,7.771859495021467
2,137782,7.181618076690729
3,153659,8.009175741724032
4,142450,7.424928474144622
5,163556,8.525037567688296
6,165522,8.627511484010993
7,176456,9.19742491283723
8,168368,8.775853684343852
9,165228,8.6121873073076
10,170892,8.907412262572992
11,162504,8.47020411907615
12,163014,8.496786874582039
