BOROUGH,YEAR,MONTH,COLLISION_COUNT
BROOKLYN,2018,9,3842
BROOKLYN,2018,10,4229
BROOKLYN,2018,11,3883
BROOKLYN,2018,12,3927
BROOKLYN,2019,1,3510
BROOKLYN,2019,2,3310
BROOKLYN,2019,3,3720
BROOKLYN,2019,4,3480
BROOKLYN,2019,5,4150
BROOKLYN,2019,6,4149
BROOKLYN,2019,7,3913
BROOKLYN,2019,8,3674
BROOKLYN,2019,9,3776
BROOKLYN,2019,10,3540
BROOKLYN,2019,11,3591
BROOKLYN,2019,12,3666
BROOKLYN,2020,1,3099
BROOKLYN,2020,2,3030
BROOKLYN,2020,3,2511
BROOKLYN,2020,4,922
BROOKLYN,2020,5,1396
BROOKLYN,2020,6,1786
BROOKLYN,2020,7,2193
BROOKLYN,2020,8,2258
BROOKLYN,2020,9,2225
BROOKLYN,2020,10,2137
BROOKLYN,2020,11,2004
BROOKLYN,2020,12,1909
BROOKLYN,2021,1,1806
BROOKLYN,2021,2,1635
BROOKLYN,2021,3,1937
BROOKLYN,2021,4,2027
BROOKLYN,2021,5,2290
BROOKLYN,2021,6,2455
BROOKLYN,2021,7,2259
BROOKLYN,2021,8,2237
BROOKLYN,2021,9,2278
BROOKLYN,2021,10,2249
BROOKLYN,2021,11,2043
BROOKLYN,2021,12,1952
BROOKLYN,2022,1,1787
BROOKLYN,2022,2,1682
BROOKLYN,2022,3,1991
BROOKLYN,2022,4,1883
BROOKLYN,2022,5,2146
BROOKLYN,2022,6,2174
BROOKLYN,2022,7,1917
BROOKLYN,2022,8,708
MANHATTAN,2012,7,3654
MANHATTAN,2012,8,3594
MANHATTAN,2012,9,3507
MANHATTAN,2012,10,3497
MANHATTAN,2012,11,3065
MANHATTAN,2012,12,3403
MANHATTAN,2013,1,3017
MANHATTAN,2013,2,2856
MANHATTAN,2013,3,3285
MANHATTAN,2013,4,3358
MANHATTAN,2013,5,3841
MANHATTAN,2013,6,3739
MANHATTAN,2013,7,3598
MANHATTAN,2013,8,3541
MANHATTAN,2013,9,3565
MANHATTAN,2013,10,3703
MANHATTAN,2013,11,3624
MANHATTAN,2013,12,3454
MANHATTAN,2014,1,3140
MANHATTAN,2014,2,2914
MANHATTAN,2014,3,3136
MANHATTAN,2014,4,3418
MANHATTAN,2014,5,3818
MANHATTAN,2014,6,3718
MANHATTAN,2014,7,3502
MANHATTAN,2014,8,3484
MANHATTAN,2014,9,3556
MANHATTAN,2014,10,3652
MANHATTAN,2014,11,3433
MANHATTAN,2014,12,3496
MANHATTAN,2015,1,2876
MANHATTAN,2015,2,2670
MANHATTAN,2015,3,3397
MANHATTAN,2015,4,3523
