WEEK_DAY,COLLISION_COUNT,PERC
0,274475,14.306474151918884
1,283363,14.769743820421498
2,281196,14.65679317104648
3,287450,14.982770725818684
4,306448,15.97300442993802
5,257244,13.408341877169947
6,228361,11.902871823686485
